Input_PWM;time_s;Current_A;Potencia_W;Current_Pasos;Velocidad_rpm
1825.00;726.00;0.163;1.956;0.477;3777.48
1826.00;727.00;0.164;1.968;0.504;3792.47
1827.00;728.00;0.165;1.98;0.57;3805.00
1828.00;729.00;0.164;1.968;0.559;3812.46
1829.00;730.00;0.164;1.968;0.561;3825.00
1830.00;731.00;0.164;1.968;0.561;3832.44
1831.00;732.00;0.164;1.968;0.503;3852.43
1832.00;733.00;0.165;1.98;0.519;3862.43
1833.00;734.00;0.165;1.98;0.477;3875.00
1834.00;735.00;0.164;1.968;0.517;3887.41
1835.00;736.00;0.165;1.98;0.543;3900.00
1836.00;737.00;0.166;1.992;0.489;3904.79
1837.00;738.00;0.164;1.968;0.531;3925.00
1838.00;739.00;0.165;1.98;0.558;3932.38
1839.00;740.00;0.166;1.992;0.551;3942.37
1840.00;741.00;0.167;2.004;0.551;3960.00
1841.00;742.00;0.169;2.028;0.554;3967.35
1842.00;743.00;0.168;2.016;0.574;3982.34
1843.00;744.00;0.169;2.028;0.562;4002.33
1844.00;745.00;0.166;1.992;0.555;4015.00
1845.00;746.00;0.169;2.028;0.513;4022.32
1846.00;747.00;0.168;2.016;0.519;4045.00
1847.00;748.00;0.168;2.016;0.524;4052.30
1848.00;749.00;0.169;2.028;0.575;4067.29
1849.00;750.00;0.169;2.028;0.593;4077.28
1850.00;751.00;0.169;2.028;0.503;4095.00
1851.00;752.00;0.171;2.052;0.578;4102.27
1852.00;753.00;0.172;2.064;0.514;4125.00
1853.00;754.00;0.167;2.004;0.586;4127.25
1854.00;755.00;0.169;2.028;0.607;4137.24
1855.00;756.00;0.169;2.028;0.602;4152.23
1856.00;757.00;0.169;2.028;0.604;4162.23
1857.00;758.00;0.169;2.028;0.536;4180.00
1858.00;759.00;0.171;2.052;0.6;4192.20
1859.00;760.00;0.171;2.052;0.612;4205.00
1860.00;761.00;0.169;2.028;0.591;4209.39
1861.00;762.00;0.173;2.076;0.565;4230.00
1862.00;763.00;0.173;2.076;0.61;4232.18
1863.00;764.00;0.172;2.064;0.61;4245.00
1864.00;765.00;0.173;2.076;0.594;4257.16
1865.00;766.00;0.174;2.088;0.595;4272.15
1866.00;767.00;0.171;2.052;0.615;4287.14
1867.00;768.00;0.176;2.112;0.599;4300.00
1868.00;769.00;0.174;2.088;0.61;4312.12
1869.00;770.00;0.176;2.112;0.528;4325.00
1870.00;771.00;0.176;2.112;0.597;4332.11
1871.00;772.00;0.178;2.136;0.549;4342.11
1872.00;773.00;0.178;2.136;0.591;4357.10
1873.00;774.00;0.178;2.136;0.594;4370.00
1874.00;775.00;0.179;2.148;0.631;4382.08
1875.00;776.00;0.176;2.112;0.624;4392.07
1876.00;777.00;0.178;2.136;0.611;4410.00
1877.00;778.00;0.178;2.136;0.585;4419.11
1878.00;779.00;0.182;2.184;0.619;4440.00
1879.00;780.00;0.18;2.16;0.608;4447.04
1880.00;781.00;0.178;2.136;0.621;4470.00
1881.00;782.00;0.181;2.172;0.54;4487.01
1882.00;783.00;0.18;2.16;0.614;4500.00
1883.00;784.00;0.178;2.136;0.59;4508.99
1884.00;785.00;0.181;2.172;0.641;4530.00
1885.00;786.00;0.183;2.196;0.609;4531.98
1886.00;787.00;0.179;2.148;0.603;4545.00
1887.00;788.00;0.179;2.148;0.64;4546.97
1888.00;789.00;0.176;2.112;0.62;4555.00
1889.00;790.00;0.176;2.112;0.603;4548.93
1890.00;791.00;0.175;2.1;0.623;4550.00
1891.00;792.00;0.175;2.1;0.554;4546.97
1892.00;793.00;0.176;2.112;0.644;4555.00
1893.00;794.00;0.175;2.1;0.613;4551.97
1894.00;795.00;0.175;2.1;0.614;4548.93
1895.00;796.00;0.175;2.1;0.601;4555.00
1896.00;797.00;0.173;2.076;0.613;4551.97
1897.00;798.00;0.175;2.1;0.614;4555.00
1898.00;799.00;0.175;2.1;0.584;4551.97
1899.00;800.00;0.174;2.088;0.634;4555.00
